var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,
14,X2,X3,0.0482132488189211,0.166608967870288,0.221306571194095,"Enhance, nonlinear",x14,0.0810841031930387,0.10110673975348,0.23180096683098,0.18241475594826,0.115701220070712,0.35130930308907,0.383625588167634,0.169769238803018,0.20093153558221,0.185844315335852,0.0769828702322155,0.101271328264823,0.127169168877665,0.0501511735186797
15,X2,X4,0.0482132488189211,0.111034406658861,0.178825173606431,"Enhance, nonlinear",,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
16,X2,X5,0.0482132488189211,0.0554788715234067,0.0906981168184698,"Enhance, bi-",,,,,,,,,,,,,,,
17,X2,X6,0.0482132488189211,0.331957614659989,0.408806821161561,"Enhance, nonlinear",,,,,,,,,,,,,,,
18,X2,X7,0.0482132488189211,0.370604524919715,0.401437856286799,"Enhance, bi-",,,,,,,,,,,,,,,
19,X2,X8,0.0482132488189211,0.114007946100873,0.1415744924276,"Enhance, bi-",,,,,,0.0246777665809778,,,,,,,,,
20,X2,X9,0.0482132488189211,0.146157436673325,0.164989462868468,"Enhance, bi-",,,,,,0.0482132488189211,,,,,,,,,
21,X2,X10,0.0482132488189211,0.127096913251061,0.143580525602136,"Enhance, bi-",,,,,,0.166608967870288,,,,,,,,,
22,X2,X11,0.0482132488189211,0.0227496275976296,0.0635573963261731,"Enhance, bi-",,,,,,0.111034406658861,,,,,,,,,
23,X2,X12,0.0482132488189211,0.0438664704523078,0.0805153553456124,"Enhance, bi-",,,,,,0.0554788715234067,,,,,,,,,
24,X2,X13,0.0482132488189211,0.0744233915793162,0.104753476825567,"Enhance, bi-",,,,,,0.331957614659989,,,,,,,,,
25,X2,X14,0.0482132488189211,0.0501511735186797,0.10110673975348,"Enhance, nonlinear",,,,,,0.370604524919715,,,,,,,,,
26,X3,X4,0.166608967870288,0.111034406658861,0.206054596188853,"Enhance, bi-",,,,,,0.114007946100873,,,,,,,,,
27,X3,X5,0.166608967870288,0.0554788715234067,0.192783995432923,"Enhance, bi-",,,,,,0.146157436673325,,,,,,,,,
28,X3,X6,0.166608967870288,0.331957614659989,0.450509232259036,"Enhance, bi-",,,,,,0.127096913251061,,,,,,,,,
29,X3,X7,0.166608967870288,0.370604524919715,0.505524628838488,"Enhance, bi-",,,,,,0.0227496275976296,,,,,,,,,
30,X3,X8,0.166608967870288,0.114007946100873,0.238902102310694,"Enhance, bi-",,,,,,0.0438664704523078,,,,,,,,,
31,X3,X9,0.166608967870288,0.146157436673325,0.273565765057812,"Enhance, bi-",,,,,,0.0744233915793162,,,,,,,,,
32,X3,X10,0.166608967870288,0.127096913251061,0.211009650598568,"Enhance, bi-",,,,,,0.0501511735186797,,,,,,,,,
33,X3,X11,0.166608967870288,0.0227496275976296,0.179247272333792,"Enhance, bi-",,,,,,,,,,,,,,,
34,X3,X12,0.166608967870288,0.0438664704523078,0.199193048357272,"Enhance, bi-",,,,,,,,,,,,,,,
35,X3,X13,0.166608967870288,0.0744233915793162,0.216449661076561,"Enhance, bi-",,,,,,,,,,,,,,,
36,X3,X14,0.166608967870288,0.0501511735186797,0.23180096683098,"Enhance, nonlinear",,,,,,,,,,,,,,,
37,X4,X5,0.111034406658861,0.0554788715234067,0.153467115739478,"Enhance, bi-",,,,,,,,,,,,,,,
38,X4,X6,0.111034406658861,0.331957614659989,0.422996701548352,"Enhance, bi-",,,,,,,,,,,,,,,
39,X4,X7,0.111034406658861,0.370604524919715,0.48055306664708,"Enhance, bi-",,,,,,,,,,,,,,,
40,X4,X8,0.111034406658861,0.114007946100873,0.192097653653832,"Enhance, bi-",,,,,,,,,,,,,,,
41,X4,X9,0.111034406658861,0.146157436673325,0.230901974485829,"Enhance, bi-",,,,,,,,,,,,,,,
42,X4,X10,0.111034406658861,0.127096913251061,0.179610948031415,"Enhance, bi-",,,,,,,,,,,,,,,
43,X4,X11,0.111034406658861,0.0227496275976296,0.126109434166901,"Enhance, bi-",,,,,,,,,,,,,,,
44,X4,X12,0.111034406658861,0.0438664704523078,0.149697089645473,"Enhance, bi-",,,,,,,,,,,,,,,
45,X4,X13,0.111034406658861,0.0744233915793162,0.166892312406201,"Enhance, bi-",,,,,,,,,,,,,,,
46,X4,X14,0.111034406658861,0.0501511735186797,0.18241475594826,"Enhance, nonlinear",,,,,,,,,,,,,,,
47,X5,X6,0.0554788715234067,0.331957614659989,0.379588761712977,"Enhance, bi-",,,,,,,,,,,,,,,
48,X5,X7,0.0554788715234067,0.370604524919715,0.397550481976065,"Enhance, bi-",,,,,,,,,,,,,,,
